event_id,timestamp,user,action,cpu,memory,response_time,status_code
1,2026-08-25 18:32:15.317,Hannah,View,67.63,62.35,89,404
2,2026-08-25 18:32:15.356,Julia,Download,28.12,40.4,140,200
3,2026-08-25 18:32:15.402,Ian,Upload,60.17,26.14,58,304
4,2026-08-25 18:32:15.410,Fiona,Upload,66.58,68.89,153,200
5,2026-08-25 18:32:15.499,Charlie,Purchase,50.46,76.85,358,200
6,2026-08-25 18:32:15.420,Diana,Search,92.76,75.0,404,404
7,2026-08-25 18:32:15.448,Diana,Purchase,51.12,89.85,114,500
8,2026-08-25 18:32:15.414,Ian,Login,64.09,55.25,137,200
9,2026-08-25 18:32:15.627,Ian,Upload,44.22,75.8,26,404
10,2026-08-25 18:32:15.674,Diana,Login,18.25,33.59,301,200
11,2026-08-25 18:32:15.624,Diana,Upload,77.73,27.1,89,404
12,2026-08-25 18:32:15.750,Julia,Upload,67.19,23.6,301,201
13,2026-08-25 18:32:15.710,Ian,Purchase,28.65,38.44,204,404
14,2026-08-25 18:32:15.630,Hannah,Upload,93.97,75.79,422,201
15,2026-08-25 18:32:15.684,Charlie,Login,28.57,20.84,296,304
16,2026-08-25 18:32:15.950,Charlie,Search,51.8,83.58,163,500
17,2026-08-25 18:32:15.736,Diana,Logout,43.96,62.7,240,400
18,2026-08-25 18:32:15.564,Hannah,Logout,82.34,24.74,154,200
19,2026-08-25 18:32:15.921,Ian,Logout,43.93,44.84,244,500
20,2026-08-25 18:32:15.734,Julia,Logout,31.91,76.91,122,200
21,2026-08-25 18:32:15.840,Ian,Logout,63.18,26.41,36,304
22,2026-08-25 18:32:15.558,Ian,Search,23.32,29.1,160,200
23,2026-08-25 18:32:16.283,Hannah,Purchase,67.02,33.64,48,304
24,2026-08-25 18:32:16.350,George,Logout,88.87,78.39,306,200
25,2026-08-25 18:32:15.594,Ian,Upload,10.62,56.55,369,201
26,2026-08-25 18:32:16.282,Alice,Download,23.39,54.57,373,200
27,2026-08-25 18:32:16.644,Charlie,Login,10.3,53.19,342,200
28,2026-08-25 18:32:16.078,Hannah,Search,65.07,21.05,105,200
29,2026-08-25 18:32:16.628,Alice,Download,36.56,27.58,242,400
30,2026-08-25 18:32:15.924,Ian,Logout,86.77,32.76,73,304
31,2026-08-25 18:32:16.193,Fiona,Search,42.37,47.0,79,500
32,2026-08-25 18:32:16.862,Julia,Download,56.41,80.29,159,200
33,2026-08-25 18:32:16.581,Bob,Upload,71.13,29.93,401,200
34,2026-08-25 18:32:16.212,Fiona,Upload,65.37,36.98,32,201
35,2026-08-25 18:32:16.694,Fiona,Purchase,86.98,28.04,213,200
36,2026-08-25 18:32:16.122,George,Logout,23.66,40.13,385,200
37,2026-08-25 18:32:16.404,Charlie,Logout,50.51,20.72,19,404
38,2026-08-25 18:32:15.674,Alice,Logout,41.1,51.48,246,304
39,2026-08-25 18:32:16.971,Bob,Upload,26.2,42.71,86,200
40,2026-08-25 18:32:16.254,Julia,Logout,38.83,88.83,239,304
41,2026-08-25 18:32:17.303,Bob,Login,91.7,88.91,392,200
42,2026-08-25 18:32:17.268,Charlie,Upload,80.55,56.78,347,201
43,2026-08-25 18:32:16.154,Julia,View,66.25,20.48,324,200
44,2026-08-25 18:32:17.406,Hannah,Search,30.25,77.65,354,500
45,2026-08-25 18:32:16.284,Fiona,Purchase,8.26,36.88,405,200
46,2026-08-25 18:32:16.766,Julia,Download,28.07,85.67,314,200
47,2026-08-25 18:32:16.939,Charlie,Download,7.59,49.24,179,200
48,2026-08-25 18:32:16.062,George,Login,75.69,40.96,33,200
49,2026-08-25 18:32:16.764,Ian,Search,49.98,54.05,327,201
50,2026-08-25 18:32:17.444,Ian,Upload,80.16,76.83,171,200
51,2026-08-25 18:32:15.855,Hannah,Logout,13.97,80.62,283,304
52,2026-08-25 18:32:16.698,Charlie,Logout,43.5,72.36,136,404
